ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,annual_number_of_flights,distance
10135,10397,954,692
10135,10693,67,685
10135,11057,1020,481
10135,11433,995,425
10135,11697,55,1041
10135,13577,102,518
10135,13930,1326,654
10135,14082,179,1018
10135,14100,979,55
10135,14112,186,970
10135,14685,50,669
10135,14761,506,882
10136,11298,2234,158
10140,10397,878,1269
10140,10423,377,619
10140,10821,506,1670
10140,11259,1670,580
10140,11292,2657,349
10140,11298,2667,569
10140,12191,1030,759
10140,12266,1422,744
10140,12478,297,1826
10140,12889,1373,486
10140,12892,2525,677
10140,13198,340,718
10140,13204,60,1553
10140,13232,600,1121
10140,13487,213,981
10140,13796,839,889
10140,13930,1202,1118
10140,14057,353,1111
10140,14107,3474,328
10140,14679,970,628
10140,14683,4,609
10140,14747,555,1180
10140,14771,872,896
10140,14831,172,870
10140,14869,1013,493
10140,14908,6,650
10141,13487,732,257
10146,10397,1000,145
10154,10721,180,91
10154,11057,13,723
10154,11278,184,405
10154,11618,215,218
10154,12197,81,191
10154,12478,453,199
10154,12953,244,202
10155,11298,1735,89
10157,11292,199,1026
10157,12892,556,577
10157,14771,1143,250
10158,10397,174,679
10158,11697,794,977
10158,13204,713,852
10158,13577,350,466
10158,14027,167,936
10158,14635,512,982
10158,15304,355,913
10165,10299,98,1192
10170,10299,613,253
10185,10397,1335,500
10185,11298,1035,285
10185,12266,843,190
10208,10397,2845,143
10208,11057,2087,140
10208,11278,14,468
10208,11298,307,874
10208,12953,16,678
10208,13303,8,531
10208,13930,8,677
10208,14100,8,583
10245,10299,60,288
10257,10397,1102,853
10257,10821,1756,289
10257,11057,1055,646
10257,11278,1341,318
10257,11292,225,1610
10257,11433,1271,489
10257,11618,1635,143
10257,11697,531,1204
10257,12264,854,325
10257,13204,1125,1073
10257,13232,682,717
10257,13487,262,980
10257,13577,43,685
10257,13930,2288,723
10257,14082,179,1185
10257,14100,1943,212
10257,14112,163,1138
10257,14492,83,544
10257,14635,91,1205
10257,14685,52,837
10257,14761,159,1049
10257,15304,340,1130
10268,13930,668,234
10275,14747,862,213
10279,11259,1319,323
10279,11292,667,359
10279,11298,2262,312
10279,12191,13,537
10279,12266,946,517
10279,12889,361,758
10279,14107,120,602
10299,10165,98,1192
10299,10170,613,253
10299,10245,61,288
10299,10397,112,3417
10299,10551,803,399
10299,10666,31,1371
10299,10754,1,725
10299,10926,358,160
10299,11292,502,2405
10299,11298,138,3043
10299,11336,82,329
10299,11445,593,792
10299,11618,79,3370
10299,11630,2187,261
10299,12173,363,2777
10299,12266,86,3266
10299,12523,1344,571
10299,12758,86,2874
10299,12892,462,2345
10299,13487,526,2519
10299,13830,100,2797
10299,13873,399,539
10299,13930,572,2846
10299,13970,645,548
10299,14057,1100,1542
10299,14107,200,2552
10299,14709,716,626
10299,14747,6966,1448
10299,14771,88,2018
10299,14869,72,2125
10333,11433,352,198
10333,14150,248,69
10361,14100,670,287
10372,10397,94,1304
10372,11292,2126,125
10372,11298,727,701
10372,12266,434,913
10372,12892,847,737
10372,13487,22,802
10372,13930,764,1013
10372,14107,148,491
10372,14771,282,848
10372,14869,603,292
10397,10135,955,692
10397,10140,878,1269
10397,10146,1001,145
10397,10158,174,679
10397,10185,1335,500
10397,10208,2846,143
10397,10257,1102,853
10397,10299,112,3417
10397,10372,93,1304
10397,10408,679,765
10397,10423,3951,813
10397,10431,2476,164
10397,10434,353,714
10397,10529,2338,859
10397,10599,3393,134
10397,10685,1003,533
10397,10693,4975,214
10397,10721,6265,946
10397,10731,1031,238
10397,10781,2266,448
10397,10785,425,961
10397,10792,1651,712
10397,10800,312,1941
10397,10821,6749,577
10397,10849,120,1640
10397,10868,2867,192
10397,10874,1029,528
10397,10980,3398,106
10397,10990,1669,457
10397,10994,3584,259
10397,11003,922,694
10397,11042,3625,554
10397,11057,6276,226
10397,11066,3673,447
10397,11109,424,1184
10397,11146,1586,363
10397,11150,1269,83
10397,11193,2784,373
10397,11252,1707,366
10397,11259,3432,721
10397,11267,1377,432
10397,11278,7028,547
10397,11292,6163,1199
10397,11298,6754,731
10397,11308,1372,170
10397,11423,1061,743
10397,11433,5129,594
10397,11481,2063,240
10397,11503,101,1312
10397,11537,12,717
10397,11540,872,1282
10397,11612,1225,350
10397,11617,704,433
10397,11618,6480,746
10397,11624,1744,646
10397,11637,23,1123
10397,11641,1692,331
10397,11648,12,1842
10397,11697,8626,581
10397,11721,1031,645
10397,11775,326,954
10397,11778,670,579
10397,11823,1403,508
10397,11953,2557,300
10397,11973,1695,352
10397,11977,533,774
10397,11986,1688,640
10397,11995,2825,306
10397,11996,3752,153
10397,12007,1181,241
10397,12094,101,1340
10397,12124,657,238
10397,12173,355,4502
10397,12191,4053,696
10397,12197,2162,780
10397,12217,2581,151
10397,12264,4376,534
10397,12266,5272,689
10397,12278,1027,782
10397,12323,1803,377
10397,12339,4198,432
10397,12391,134,795
10397,12441,111,1572
10397,12448,2247,341
10397,12451,5193,270
10397,12478,3478,760
10397,12889,4698,1747
10397,12892,6414,1947
10397,12945,2606,304
10397,12951,1400,503
10397,12953,9382,762
10397,12992,2232,453
10397,13029,271,841
10397,13198,3932,692
10397,13204,9246,404
10397,13230,1017,620
10397,13232,4175,591
10397,13244,3594,332
10397,13277,2277,147
10397,13296,267,952
10397,13303,6955,594
10397,13342,3162,669
10397,13360,1426,442
10397,13367,1038,633
10397,13377,1319,448
10397,13422,2376,302
10397,13485,1182,707
10397,13486,13,1800
10397,13487,4605,907
10397,13495,5329,425
10397,13502,38,1352
10397,13577,1351,317
10397,13795,1298,399
10397,13796,479,2130
10397,13851,1990,761
10397,13871,1714,821
10397,13891,378,1900
10397,13930,7989,606
10397,13931,2931,516
10397,14027,4074,545
10397,14057,1283,2172
10397,14098,1049,508
10397,14100,6384,666
10397,14107,3527,1587
10397,14108,1031,565
10397,14122,3493,526
10397,14193,2797,271
10397,14262,22,1840
10397,14307,1017,903
10397,14321,654,1027
10397,14457,13,1230
10397,14492,5293,356
10397,14524,4246,481
10397,14570,25,1993
10397,14574,1720,357
10397,14576,1026,749
10397,14633,524,831
10397,14635,3568,515
10397,14679,2351,1892
10397,14683,3282,874
10397,14685,3364,214
10397,14696,1405,566
10397,14730,2797,321
10397,14747,3232,2182
10397,14771,3397,2139
10397,14783,1465,563
10397,14814,2133,551
10397,14831,990,2116
10397,14843,1446,1547
10397,14869,3094,1590
10397,14893,994,2092
10397,14908,1120,1919
10397,14986,2323,444
10397,15016,4061,484
10397,15024,455,1599
10397,15027,74,1638
10397,15096,1036,794
10397,15249,2480,223
10397,15304,7157,406
10397,15323,2098,227
10397,15356,307,701
10397,15370,1625,674
10397,15376,683,1541
10397,15380,49,769
10397,15412,3027,152
10397,15607,1032,208
10397,15624,2350,250
10397,15919,1943,589
10408,10397,678,765
10408,10466,109,1452
10408,11292,357,883
10408,11433,1234,296
10408,12889,103,1510
10408,13487,1273,236
10408,13930,2645,161
10408,14082,45,1250
10408,14112,100,1173
10408,14761,134,1141
10409,11292,237,519
10409,13930,114,507
10409,14120,146,159
10423,10140,381,619
10423,10397,3945,813
10423,10693,993,756
10423,10721,1094,1698
10423,10781,1,390
10423,10821,1212,1342
10423,11042,70,1174
10423,11057,1715,1032
10423,11066,1,1073
10423,11193,435,958
10423,11259,3189,189
10423,11278,356,1315
10423,11292,4129,775
10423,11298,3718,190
10423,11433,1480,1149
10423,11481,35,710
10423,11540,906,528
10423,11618,1685,1504
10423,11697,1133,1105
10423,12191,1843,148
10423,12206,316,273
10423,12264,1304,1297
10423,12266,3154,140
10423,12339,129,919
10423,12478,2137,1521
10423,12889,2107,1090
10423,12892,3993,1242
10423,12896,331,341
10423,12954,365,1226
10423,13198,350,650
10423,13204,1611,994
10423,13232,1147,972
10423,13244,52,559
10423,13303,1028,1103
10423,13487,1027,1042
10423,13495,1369,444
10423,13796,391,1497
10423,13891,92,1196
10423,13930,2979,977
10423,14057,356,1715
10423,14100,908,1430
10423,14107,2823,872
10423,14122,46,1210
10423,14193,8,626
10423,14492,345,1162
10423,14679,1505,1164
10423,14747,1106,1770
10423,14761,67,994
10423,14771,2449,1504
10423,14831,1534,1476
10423,14869,1157,1086
10423,14893,322,1481
10423,14908,180,1209
10423,15016,675,721
10423,15304,519,928
10423,15624,30,666
10431,10397,2477,164
10431,10821,99,414
10431,11057,2631,91
10431,11292,102,1248
10431,11298,238,848
10431,11433,22,470
10431,11618,455,583
10431,11697,991,660
10431,12264,654,370
10431,12953,84,599
10431,13204,206,488
10431,13930,1107,536
10431,14027,11,620
10431,14082,177,588
10431,14100,218,504
10431,14112,476,519
10431,14761,465,465
10431,14986,90,554
10431,15304,117,514
10434,10397,353,714
10434,11057,1319,509
10434,11433,901,399
10434,12264,705,189
10434,13930,1500,632
10434,14100,1096,104
10466,10408,109,1452
10466,10620,161,878
10466,10627,222,1092
10466,10666,156,1208
10466,10676,36,1272
10466,10713,52,749
10466,10849,120,861
10466,11003,200,1240
10466,11193,106,1553
10466,11423,148,1137
10466,11603,121,971
10466,11637,293,1220
10466,11648,67,1044
10466,11775,262,1072
10466,11823,70,1546
10466,11898,98,1260
10466,11921,78,437
10466,11980,133,905
10466,11986,179,1561
10466,12003,114,978
10466,12278,93,855
10466,12280,155,704
10466,12889,163,276
10466,13198,26,1030
