ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,annual_departure_count,median_monthly_dep_cnt,mean_monthly_dep_cnt,airline_count,median_dep_delay,mean_dep_delay,annual_cancellations,pct_flts_cx
10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,6420,543,535,11,-5,10,122,1.9
10136,ABI,"Abilene, TX",TX,2234,195,186,1,-4,9,38,1.7
10140,ABQ,"Albuquerque, NM",NM,26095,2187,2175,17,-2,10,349,1.34
10141,ABR,"Aberdeen, SD",SD,732,60,61,1,-3,17,18,2.46
10146,ABY,"Albany, GA",GA,1001,83,83,1,-2,13,4,0.4
10154,ACK,"Nantucket, MA",MA,1373,205,229,4,-4,28,63,4.59
10155,ACT,"Waco, TX",TX,1735,146,145,2,-5,6,65,3.75
10157,ACV,"Arcata/Eureka, CA",CA,1898,171,158,1,-4,24,115,6.06
10158,ACY,"Atlantic City, NJ",NJ,3066,255,256,1,-6,4,48,1.57
10165,ADK,"Adak Island, AK",AK,98,8,8,1,8,16,6,6.12
10170,ADQ,"Kodiak, AK",AK,613,52,51,1,-7,-2,28,4.57
10185,AEX,"Alexandria, LA",LA,3213,273,268,4,-6,7,58,1.81
10208,AGS,"Augusta, GA",GA,5293,444,441,8,-3,11,68,1.28
10245,AKN,"King Salmon, AK",AK,60,24,20,1,-4,-4,1,1.67
10257,ALB,"Albany, NY",NY,17183,1477,1432,19,-4,11,449,2.61
10268,ALO,"Waterloo, IA",IA,668,58,56,1,-5,12,32,4.79
10275,ALW,"Walla Walla, WA",WA,862,76,72,1,-1,7,40,4.64
10279,AMA,"Amarillo, TX",TX,5688,478,474,7,-5,10,195,3.43
10299,ANC,"Anchorage, AK",AK,19441,1399,1620,7,-6,1,284,1.46
10333,APN,"Alpena, MI",MI,604,51,50,1,-3,19,21,3.48
10361,ART,"Watertown, NY",NY,671,57,56,2,-8,7,50,7.45
10372,ASE,"Aspen, CO",CO,6047,540,504,1,-5,23,542,8.96
10397,ATL,"Atlanta, GA",GA,393252,33196,32771,17,-1,9,2400,0.61
10408,ATW,"Appleton, WI",WI,6679,572,557,8,-4,12,171,2.56
10409,ATY,"Watertown, SD",SD,497,56,55,1,-9,15,26,5.23
10423,AUS,"Austin, TX",TX,66253,5549,5521,17,-2,10,927,1.4
10431,AVL,"Asheville, NC",NC,10621,932,885,12,-5,11,228,2.15
10434,AVP,"Scranton/Wilkes-Barre, PA",PA,5874,504,490,9,-5,9,182,3.1
10466,AZA,"Phoenix, AZ",AZ,5681,464,473,1,0,11,33,0.58
10469,AZO,"Kalamazoo, MI",MI,3683,332,307,6,-5,9,137,3.72
10529,BDL,"Hartford, CT",CT,28962,2396,2414,17,-3,9,575,1.99
10551,BET,"Bethel, AK",AK,803,68,67,1,-6,1,24,2.99
10558,BFF,"Scottsbluff, NE",NE,596,51,50,1,-8,9,29,4.87
10561,BFL,"Bakersfield, CA",CA,2426,208,202,2,-6,7,43,1.77
10562,BFM,"Mobile, AL",AL,151,20,19,1,-7,6,7,4.64
10577,BGM,"Binghamton, NY",NY,941,84,78,1,-4,16,17,1.81
10581,BGR,"Bangor, ME",ME,5549,432,462,11,-5,13,209,3.77
10599,BHM,"Birmingham, AL",AL,20394,1718,1700,16,-3,11,460,2.26
10620,BIL,"Billings, MT",MT,5374,420,448,10,-4,6,49,0.91
10627,BIS,"Bismarck/Mandan, ND",ND,5254,448,438,9,-5,12,151,2.87
10631,BJI,"Bemidji, MN",MN,734,60,61,1,-6,9,8,1.09
10643,BKG,"Branson, MO",MO,221,32,28,1,-6,12,10,4.52
10666,BLI,"Bellingham, WA",WA,3267,272,272,3,-5,2,45,1.38
10676,BLV,"Belleville, IL",IL,1009,78,84,1,0,21,8,0.79
10685,BMI,"Bloomington/Normal, IL",IL,2991,256,249,6,-5,9,87,2.91
10693,BNA,"Nashville, TN",TN,82420,6961,6868,21,-1,11,1396,1.69
10713,BOI,"Boise, ID",ID,25316,2128,2110,14,-4,5,185,0.73
10721,BOS,"Boston, MA",MA,149470,12652,12456,18,-2,14,3253,2.18
10728,BPT,"Beaumont/Port Arthur, TX",TX,961,80,80,1,-6,10,40,4.16
10731,BQK,"Brunswick, GA",GA,1026,88,86,2,-2,10,11,1.07
10732,BQN,"Aguadilla, PR",PR,2283,192,190,3,-3,15,23,1.01
10739,BRD,"Brainerd, MN",MN,623,52,52,1,-4,8,13,2.09
10747,BRO,"Brownsville, TX",TX,2657,227,221,6,-7,7,59,2.22
10754,BRW,"Barrow, AK",AK,707,60,59,1,-10,-7,21,2.97
10779,BTM,"Butte, MT",MT,677,57,56,1,-5,5,0,0
10781,BTR,"Baton Rouge, LA",LA,7539,630,628,9,-5,8,157,2.08
10785,BTV,"Burlington, VT",VT,11681,960,973,14,-5,15,313,2.68
10792,BUF,"Buffalo, NY",NY,27865,2409,2322,18,-3,11,900,3.23
10800,BUR,"Burbank, CA",CA,31386,2576,2616,11,-2,8,1096,3.49
10821,BWI,"Baltimore, MD",MD,103044,8924,8587,17,-1,11,2622,2.54
10849,BZN,"Bozeman, MT",MT,8328,667,694,13,-5,9,76,0.91
10868,CAE,"Columbia, SC",SC,11229,942,936,13,-4,9,201,1.79
10874,CAK,"Akron, OH",OH,7560,631,630,13,-4,15,228,3.02
10918,CDC,"Cedar City, UT",UT,762,54,64,1,-4,4,0,0
10926,CDV,"Cordova, AK",AK,713,60,59,1,-10,-4,9,1.26
10967,CGI,"Cape Girardeau, MO",MO,922,80,77,1,-8,17,34,3.69
10980,CHA,"Chattanooga, TN",TN,10085,849,840,12,-4,11,169,1.68
10990,CHO,"Charlottesville, VA",VA,8800,754,733,9,-5,12,289,3.28
10994,CHS,"Charleston, SC",SC,26922,2239,2244,19,-4,10,622,2.31
11003,CID,"Cedar Rapids/Iowa City, IA",IA,10410,887,868,14,-3,13,328,3.15
11013,CIU,"Sault Ste. Marie, MI",MI,661,56,55,1,-3,18,16,2.42
11027,CKB,"Clarksburg/Fairmont, WV",WV,833,70,69,2,-5,21,23,2.76
11042,CLE,"Cleveland, OH",OH,51015,4314,4251,20,-3,10,1160,2.27
11049,CLL,"College Station/Bryan, TX",TX,2203,186,184,4,-7,4,64,2.91
11057,CLT,"Charlotte, NC",NC,252194,21268,21016,17,-2,10,4246,1.68
11066,CMH,"Columbus, OH",OH,49315,4196,4110,19,-3,9,981,1.99
11067,CMI,"Champaign/Urbana, IL",IL,2801,245,233,1,-5,10,102,3.64
11076,CMX,"Hancock/Houghton, MI",MI,674,58,56,1,-8,24,54,8.01
11092,CNY,"Moab, UT",UT,590,50,49,1,-8,15,33,5.59
11097,COD,"Cody, WY",WY,1080,64,90,3,-6,17,30,2.78
11109,COS,"Colorado Springs, CO",CO,10699,917,892,12,-4,15,252,2.36
11111,COU,"Columbia, MO",MO,3062,275,255,6,-4,17,220,7.18
11122,CPR,"Casper, WY",WY,2275,195,190,3,-6,8,44,1.93
11140,CRP,"Corpus Christi, TX",TX,5721,480,477,7,-5,7,173,3.02
11146,CRW,"Charleston/Dunbar, WV",WV,5122,438,427,10,-3,16,144,2.81
11150,CSG,"Columbus, GA",GA,1269,114,106,1,-5,7,5,0.39
11193,CVG,"Cincinnati, OH",KY,50946,4320,4246,18,-3,12,873,1.71
11203,CWA,"Mosinee, WI",WI,3436,296,286,5,-5,10,133,3.87
11233,CYS,"Cheyenne, WY",WY,482,31,40,1,-6,19,33,6.85
11252,DAB,"Daytona Beach, FL",FL,3256,271,271,5,-4,6,54,1.66
11259,DAL,"Dallas, TX",TX,72433,6080,6036,5,1,12,2300,3.18
11267,DAY,"Dayton, OH",OH,16363,1378,1364,14,-5,9,361,2.21
11274,DBQ,"Dubuque, IA",IA,984,83,82,1,-6,9,65,6.61
11278,DCA,"Washington, DC",VA,139946,11593,11662,17,-3,11,3581,2.56
11292,DEN,"Denver, CO",CO,281015,23786,23418,16,-1,14,5887,2.09
