ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,annual_number_of_flights,distance
10135,10397,208,692
10135,10693,20,685
10135,11057,411,481
10135,11433,339,425
10135,11697,20,1041
10135,13232,13,646
10135,13577,21,518
10135,13930,408,654
10135,14082,65,1018
10135,14100,262,55
10135,14112,71,970
10135,14685,20,669
10135,14761,174,882
10135,14986,12,1000
10136,11298,760,158
10140,10397,161,1269
10140,10423,156,619
10140,10821,126,1670
10140,11259,616,580
10140,11292,935,349
10140,11298,943,569
10140,12191,262,759
10140,12266,459,744
10140,12478,77,1826
10140,12889,463,486
10140,12892,723,677
10140,13198,76,718
10140,13204,3,1553
10140,13232,175,1121
10140,13487,2,981
10140,13796,227,889
10140,13930,325,1118
10140,14057,89,1111
10140,14107,1185,328
10140,14679,151,628
10140,14683,42,609
10140,14747,172,1180
10140,14761,8,1548
10140,14771,176,896
10140,14831,64,870
10140,14869,369,493
10141,13487,295,257
10146,10397,336,145
10154,10581,5,253
10154,11057,2,723
10154,11278,12,405
10154,12264,5,423
10154,12953,3,202
10155,11298,511,89
10157,11292,89,1026
10157,12892,170,577
10157,14771,391,250
10158,10397,9,679
10158,11697,294,977
10158,13204,268,852
10158,13577,107,466
10158,14027,88,936
10158,14635,195,982
10158,15304,110,913
10165,10299,36,1192
10165,10917,13,616
10170,10299,217,253
10185,10397,410,500
10185,11298,351,285
10185,12266,245,190
10208,10397,829,143
10208,11057,690,140
10208,11278,67,468
10208,11298,172,874
10245,10299,62,288
10257,10397,244,853
10257,10821,509,289
10257,11057,432,646
10257,11278,446,318
10257,11292,86,1610
10257,11433,437,489
10257,11618,376,143
10257,11697,194,1204
10257,12264,343,325
10257,13204,414,1073
10257,13232,231,717
10257,13487,9,980
10257,13577,9,685
10257,13930,687,723
10257,14082,39,1185
10257,14100,571,212
10257,14112,54,1138
10257,14635,53,1205
10257,14761,54,1049
10257,15096,6,120
10257,15304,141,1130
10268,13930,242,234
10275,14303,34,72
10275,14747,252,213
10279,11259,466,323
10279,11292,212,359
10279,11298,758,312
10279,12191,14,537
10279,12266,230,517
10279,12889,103,758
10299,10165,36,1192
10299,10170,217,253
10299,10245,62,288
10299,10551,267,399
10299,10754,62,725
10299,10917,13,620
10299,10926,178,160
10299,11292,128,2405
10299,11298,28,3043
10299,11336,31,329
10299,11630,700,261
10299,12173,89,2777
10299,12523,522,571
10299,12758,45,2874
10299,12892,107,2345
10299,13487,66,2519
10299,13830,53,2797
10299,13873,162,539
10299,13930,10,2846
10299,13970,214,548
10299,14057,201,1542
10299,14107,64,2552
10299,14709,275,626
10299,14747,2108,1448
10333,11433,181,198
10333,14150,88,69
10361,14100,284,287
10372,10397,72,1304
10372,11292,727,125
10372,11298,287,701
10372,12266,232,913
10372,12892,382,737
10372,13487,9,802
10372,13502,18,74
10372,13930,348,1013
10372,14107,73,491
10372,14771,140,848
10372,14869,251,292
10397,10135,207,692
10397,10140,160,1269
10397,10146,335,145
10397,10158,10,679
10397,10185,409,500
10397,10208,827,143
10397,10257,244,853
10397,10372,77,1304
10397,10408,155,765
10397,10423,1169,813
10397,10431,663,164
10397,10434,71,714
10397,10529,696,859
10397,10599,970,134
10397,10685,326,533
10397,10693,1399,214
10397,10721,1597,946
10397,10731,331,238
10397,10781,584,448
10397,10785,80,961
10397,10792,411,712
10397,10800,84,1941
10397,10821,1856,577
10397,10849,38,1640
10397,10868,861,192
10397,10874,281,528
10397,10980,1020,106
10397,10990,506,457
10397,10994,1006,259
10397,11003,170,694
10397,11042,1025,554
10397,11057,1953,226
10397,11066,1135,447
10397,11109,76,1184
10397,11146,479,363
10397,11150,350,83
10397,11193,814,373
10397,11252,518,366
10397,11259,1183,721
10397,11267,340,432
10397,11278,1973,547
10397,11292,1859,1199
10397,11298,1970,731
10397,11308,435,170
10397,11423,245,743
10397,11433,1643,594
10397,11481,672,240
10397,11503,79,1312
10397,11537,1,717
10397,11540,250,1282
10397,11612,372,350
10397,11617,252,433
10397,11618,1789,746
10397,11624,580,646
10397,11637,17,1123
10397,11641,597,331
10397,11697,2691,581
10397,11721,343,645
10397,11775,71,954
10397,11778,241,579
10397,11823,375,508
10397,11953,799,300
10397,11973,576,352
10397,11977,85,774
10397,11986,411,640
10397,11995,785,306
10397,11996,1308,153
10397,12007,432,241
10397,12094,78,1340
10397,12124,356,238
10397,12173,87,4502
10397,12191,1285,696
10397,12197,538,780
10397,12217,780,151
10397,12264,1428,534
10397,12266,1693,689
10397,12278,310,782
10397,12323,592,377
10397,12339,1324,432
10397,12391,36,795
10397,12441,51,1572
10397,12448,734,341
10397,12451,1476,270
10397,12478,1064,760
10397,12889,1374,1747
10397,12892,1966,1947
10397,12945,839,304
10397,12951,344,503
10397,12953,2568,762
10397,12992,714,453
10397,13029,59,841
10397,13184,1,683
10397,13198,1127,692
10397,13204,2957,404
10397,13230,242,620
10397,13232,1155,591
10397,13244,1160,332
