ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,annual_departure_count,median_monthly_dep_cnt,mean_monthly_dep_cnt,airline_count,median_dep_delay,mean_dep_delay,annual_cancellations,pct_flts_cx
10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,2044,340,341,8,-6,7,380,18.59
10136,ABI,"Abilene, TX",TX,760,126,127,1,-7,1,64,8.42
10140,ABQ,"Albuquerque, NM",NM,7986,1365,1331,17,-4,2,1077,13.49
10141,ABR,"Aberdeen, SD",SD,295,56,49,1,-4,7,20,6.78
10146,ABY,"Albany, GA",GA,336,60,56,2,-4,4,23,6.85
10154,ACK,"Nantucket, MA",MA,27,27,27,3,-5,12,0,0
10155,ACT,"Waco, TX",TX,511,90,85,2,-8,2,96,18.79
10157,ACV,"Arcata/Eureka, CA",CA,650,107,108,1,-6,13,64,9.85
10158,ACY,"Atlantic City, NJ",NJ,1071,190,178,1,-6,1,46,4.3
10165,ADK,"Adak Island, AK",AK,49,8,8,1,-1,-1,3,6.12
10170,ADQ,"Kodiak, AK",AK,217,38,36,1,-13,-5,13,5.99
10185,AEX,"Alexandria, LA",LA,1006,176,168,3,-6,5,61,6.06
10208,AGS,"Augusta, GA",GA,1758,286,293,6,-4,7,184,10.47
10245,AKN,"King Salmon, AK",AK,62,31,31,1,-6,-2,5,8.06
10257,ALB,"Albany, NY",NY,5337,910,890,18,-5,3,819,15.35
10268,ALO,"Waterloo, IA",IA,242,40,40,1,-8,5,28,11.57
10275,ALW,"Walla Walla, WA",WA,287,56,48,1,-3,0,26,9.06
10279,AMA,"Amarillo, TX",TX,1783,304,297,7,-6,1,246,13.8
10299,ANC,"Anchorage, AK",AK,5646,1058,941,5,-7,-2,199,3.52
10333,APN,"Alpena, MI",MI,271,51,45,1,-4,32,6,2.21
10361,ART,"Watertown, NY",NY,284,53,47,1,-10,5,23,8.1
10372,ASE,"Aspen, CO",CO,2539,386,423,1,-6,20,525,20.68
10397,ATL,"Atlanta, GA",GA,116835,18936,19472,17,-3,4,11331,9.7
